VPN,BARCODE,MARIA TASH,DEPT,WCID,ITEM_DESC
ER1SP65WHITE GOLD,2201100613000,194515127311,6321,6321x506080xer1sp65wg,6.5MM SINGLE SHORT SPIKE NON-ROTATING CL
ESTAR45DROSE GOLD,2201100613505,194515012129,6321,6321x506080xestar45drg,4.5MM DIAMOND STAR EARSTUD ROSE GOLD
X3DTRDLWHITE GOLD,2201100614441,194515046001,6321,6321x506080xx3dtrdlwg,LARGE DIAMOND TRINITY THREADED STUD WHIT
X3DTRDLYELLOW GOLD,2201100614458,194515046018,6321,6321x506080xx3dtrdlyg,LARGE DIAMOND TRINITY THREADED STUD YELL
X4DTRDYELLOW GOLD,2201100614816,194515131448,6321,6321x506080xx4dtrdyg,FOUR DIAMOND TRINITY THREADED STUD YELLO
X4DTRDROSE GOLD,2201100614823,194515131424,6321,6321x506080xx4dtrdrg,FOUR DIAMOND TRINITY THREADED STUD ROSE
X5PA8D2WHITE GOLD,2201100614892,194515132087,6321,6321x506080xx5pa8d2wg,8MM DIAMOND FIVE ROW PAVE RING (BOTTOM H
X5PA8D2YELLOW GOLD,2201100614908,194515132094,6321,6321x506080xx5pa8d2yg,8MM DIAMOND FIVE ROW PAVE RING (BOTTOM H
X5PA8D2ROSE GOLD,2201100614915,194515132070,6321,6321x506080xx5pa8d2rg,8MM DIAMOND FIVE ROW PAVE RING (BOTTOM H
XCN8PEWHITE GOLD,2201100615660,194515136306,6321,6321x506080xxcn8pewg,8MM PEARL CORONET RING WHITE GOLD
XCN8PEYELLOW GOLD,2201100615677,194515136313,6321,6321x506080xxcn8peyg,8MM PEARL CORONET RING YELLOW GOLD
XCN8PEROSE GOLD,2201100615684,194515136290,6321,6321x506080xxcn8perg,8MM PEARL CORONET RING ROSE GOLD
XET1SP65WHITE GOLD,2201100615844,194515138614,6321,6321x506080xxet1sp65wg,6.5MM SINGLE SHORT SPIKE DIAMOND ETERNIT
XET1SP8WHITE GOLD,2201100615875,194515138812,6321,6321x506080xxet1sp8wg,8MM SINGLE SHORT SPIKE DIAMOND ETERNITY
XET1SP8YELLOW GOLD,2201100615882,194515138829,6321,6321x506080xxet1sp8yg,8MM SINGLE SHORT SPIKE DIAMOND ETERNITY
XET1SP8ROSE GOLD,2201100615899,194515138805,6321,6321x506080xxet1sp8rg,8MM SINGLE SHORT SPIKE DIAMOND ETERNITY
XET65DWHITE GOLD,2201100616148,194515140020,6321,6321x506080xxet65dwg,6.5MM DIAMOND ETERNITY RING WHITE GOLD
XET65DYELLOW GOLD,2201100616155,194515140037,6321,6321x506080xxet65dyg,6.5MM DIAMOND ETERNITY RING YELLOW GOLD
XET65DROSE GOLD,2201100616162,194515140013,6321,6321x506080xxet65drg,6.5MM DIAMOND ETERNITY RING ROSE GOLD
XET65DBLACK GOLD,2201100616179,194515140006,6321,6321x506080xxet65dbg,6.5MM DIAMOND ETERNITY RING BLACK GOLD
XET8D22WHITE GOLD,2201100616285,194515140242,6321,6321x506080xxet8d22wg,8MM DIAMOND ETERNITY RING WHITE GOLD
XET8D22ROSE GOLD,2201100616308,194515140235,6321,6321x506080xxet8d22rg,8MM DIAMOND ETERNITY RING ROSE GOLD
XET8D22BLACK GOLD,2201100616315,194515140228,6321,6321x506080xxet8d22bg,8MM DIAMOND ETERNITY RING BLACK GOLD
XETIV824DWHITE GOLD,2201100616858,194515142024,6321,6321x506080xxetiv824dwg,8MM INVISIBLE SET LARGE DIAMOND ETERNITY
XETIV824DYELLOW GOLD,2201100616865,194515142031,6321,6321x506080xxetiv824dyg,8MM INVISIBLE SET LARGE DIAMOND ETERNITY
XETIV824DROSE GOLD,2201100616872,194515142017,6321,6321x506080xxetiv824drg,8MM INVISIBLE SET LARGE DIAMOND ETERNITY
XFL7DYELLOW GOLD,2201100617169,194515048159,6321,6321x506080xxfl7dyg,7MM DIAMOND FLOWER THREADED STUD YELLOW
XFL7DROSE GOLD,2201100617176,194515048135,6321,6321x506080xxfl7drg,7MM DIAMOND FLOWER THREADED STUD ROSE GO
XLOTEG42DWHITE GOLD,2201100619408,194515088261,6321,6321x506080xxloteg42dwg,4MM DIAMOND ENGRAVED LOTUS THREADED STUD
XLOTEG42DYELLOW GOLD,2201100619415,194515088285,6321,6321x506080xxloteg42dyg,4MM DIAMOND ENGRAVED LOTUS THREADED STUD
XLOTEG42DROSE GOLD,2201100619422,194515088278,6321,6321x506080xxloteg42drg,4MM DIAMOND ENGRAVED LOTUS THREADED STUD
XLOTEG315DWHITE GOLD,2201100619439,194515088100,6321,6321x506080xxloteg315dwg,3MM DIAMOND ENGRAVED LOTUS THREADED STUD
XLOTEG315DYELLOW GOLD,2201100619446,194515088124,6321,6321x506080xxloteg315dyg,3MM DIAMOND ENGRAVED LOTUS THREADED STUD
XLOTEG315DROSE GOLD,2201100619453,194515088117,6321,6321x506080xxloteg315drg,3MM DIAMOND ENGRAVED LOTUS THREADED STUD
XETIV65DWHITE GOLD,2201100619668,194515141980,6321,6321x506080xxetiv65dwg,6.5MM INVISIBLE SET DIAMOND ETERNITY CLI
XETIV65DYELLOW GOLD,2201100619675,194515141997,6321,6321x506080xxetiv65dyg,6.5MM DIAMOND INVISIBLE SET ETERNITY RIN
XETIV65DROSE GOLD,2201100619682,194515141973,6321,6321x506080xxetiv65drg,6.5MM INVISIBLE SET DIAMOND ETERNITY CLI
CET2C65D-WG-L,2201100611846,194515011399,6321,6321x506080xcet2c65dwgl,"1/4"" Diamond Eternity with 2-Chains"
CET2C65D-WG-R,2201100611853,194515011405,6321,6321x506080xcet2c65dwgr,"1/4"" Diamond Eternity with 2-Chains"
CET2C65D-YG-L,2201100611860,194515011412,6321,6321x506080xcet2c65dygl,"1/4"" Diamond Eternity with 2-Chains"
CET2C65D-YG-R,2201100611877,194515011429,6321,6321x506080xcet2c65dygr,"1/4"" Diamond Eternity with 2-Chains"
CET2C65D-RG-L,2201100611884,194515011375,6321,6321x506080xcet2c65drgl,"1/4"" Diamond Eternity with 2-Chains"
CET2C65D-RG-R,2201100611891,194515011382,6321,6321x506080xcet2c65drgr,"1/4"" Diamond Eternity with 2-Chains"
CET2C8D-WG-L,2201100611907,194515011474,6321,6321x506080xcet2c8dwgl,"5/16"" Diamond Eternity with Two Chains"
CET2C8D-WG-R,2201100611914,194515011481,6321,6321x506080xcet2c8dwgr,"5/16"" Diamond Eternity with Two Chains"
CET2C8D-YG-R,2201100611938,194515011504,6321,6321x506080xcet2c8dygr,"5/16"" Diamond Eternity with Two Chains"
CET2C8D-RG-L,2201100611945,194515011450,6321,6321x506080xcet2c8drgl,"5/16"" Diamond Eternity with Two Chains"
CET2C8D-RG-R,2201100611952,194515011467,6321,6321x506080xcet2c8drgr,"5/16"" Diamond Eternity with Two Chains"
CR3C65-WG-L,2201100611969,194515028694,6321,6321x506080xcr3c65wgl,"1/4"" Plain Ring with 3-Chain"
CR3C65-WG-R,2201100611976,194515028700,6321,6321x506080xcr3c65wgr,"1/4"" Plain Ring with 3-Chain"
CR3C65-YG-L,2201100611983,194515028717,6321,6321x506080xcr3c65ygl,"1/4"" Plain Ring with 3-Chain"
CR3C65-YG-R,2201100611990,194515028724,6321,6321x506080xcr3c65ygr,"1/4"" Plain Ring with 3-Chain"
CR3C65-RG-L,2201100612003,194515028670,6321,6321x506080xcr3c65rgl,"1/4"" Plain Ring with 3-Chain"
CR3C65-RG-R,2201100612010,194515028687,6321,6321x506080xcr3c65rgr,"1/4"" Plain Ring with 3-Chain"
CR3C8-WG-L,2201100612027,194515028779,6321,6321x506080xcr3c8wgl,"5/16"" Plain Ring with 3-Chain"
CR3C8-WG-R,2201100612034,194515028786,6321,6321x506080xcr3c8wgr,"5/16"" Plain Ring with 3-Chain"
CR3C8-YG-L,2201100612041,194515028793,6321,6321x506080xcr3c8ygl,"5/16"" Plain Ring with 3-Chain"
CR3C8-YG-R,2201100612058,194515028809,6321,6321x506080xcr3c8ygr,"5/16"" Plain Ring with 3-Chain"
CR3C8-RG-L,2201100612065,194515028755,6321,6321x506080xcr3c8rgl,"5/16"" Plain Ring with 3-Chain"
CR3C8-RG-R,2201100612072,194515028762,6321,6321x506080xcr3c8rgr,"5/16"" Plain Ring with 3-Chain"
E2OP-WG,2201100612089,194515035623,6321,6321x506080xe2opwg,2mm Opal Traditional Stud
E2OP-YG,2201100612096,194515035630,6321,6321x506080xe2opyg,2mm Opal Traditional Stud
E2OP-RG,2201100612102,194515035616,6321,6321x506080xe2oprg,2mm Opal Traditional Stud
E2TND-WG,2201100612119,194515035661,6321,6321x506080xe2tndwg,Long Talon with Petite Diamonds Stud
E2TND-YG,2201100612126,194515035678,6321,6321x506080xe2tndyg,Long Talon with Petite Diamonds Stud
E2TND-RG,2201100612133,194515035654,6321,6321x506080xe2tndrg,Long Talon with Petite Diamonds Stud
E3BTR-WG,2201100612140,194515035739,6321,6321x506080xe3btrwg,Three Ball Trinity Stud
E3BTR-YG,2201100612157,194515035746,6321,6321x506080xe3btryg,Three Ball Trinity Stud
E3BTR-RG,2201100612164,194515035722,6321,6321x506080xe3btrrg,Three Ball Trinity Stud
E3DTRD-WG,2201100612171,194515119279,6321,6321x506080xe3dtrdwg,Diamond Trinity Stud
E3DTRD-YG,2201100612188,194515119286,6321,6321x506080xe3dtrdyg,Diamond Trinity Stud
E3DTRD-RG,2201100612195,194515119262,6321,6321x506080xe3dtrdrg,Diamond Trinity Stud
E3OP-WG,2201100612201,194515119590,6321,6321x506080xe3opwg,3mm Opal Traditional Stud
E3OP-YG,2201100612218,194515119606,6321,6321x506080xe3opyg,3mm Opal Traditional Stud
E3OP-RG,2201100612225,194515119583,6321,6321x506080xe3oprg,3mm Opal Traditional Stud
E4BTR-WG,2201100612232,194515120015,6321,6321x506080xe4btrwg,Four Ball Trinity Traditional Stud
E4BTR-YG,2201100612249,194515120022,6321,6321x506080xe4btryg,Four Ball Trinity Traditional Stud
E4BTR-RG,2201100612256,194515120008,6321,6321x506080xe4btrrg,Four Ball Trinity Traditional Stud
E4BTRD-WG,2201100612263,194515120046,6321,6321x506080xe4btrdwg,Dia Four Ball Trinity Traditional Stud
E4BTRD-YG,2201100612270,194515120053,6321,6321x506080xe4btrdyg,Dia Four Ball Trinity Traditional Stud
E4BTRD-RG,2201100612287,194515120039,6321,6321x506080xe4btrdrg,Dia Four Ball Trinity Traditional Stud
E4BTROP-WG,2201100612294,194515120077,6321,6321x506080xe4btropwg,Opal Four Ball Trinity Traditional Stud
E4BTROP-YG,2201100612300,194515120084,6321,6321x506080xe4btropyg,Opal Four Ball Trinity Traditional Stud
E4BTROP-RG,2201100612317,194515120060,6321,6321x506080xe4btroprg,Opal Four Ball Trinity Traditional Stud
EB2-WG,2201100612324,194515120480,6321,6321x506080xeb2wg,2mm Ball Stud
