Plu,Sku,Name,Metal,Attribute 2,Post Sku,Metal,Gauge,Gauge,Leanne Notes,5mm,Default,Sku_5mm,6.5mm,Default,Sku_6.5mm,8mm,Default,Sku_8mm,9.5mm,Default,Sku_9.5mm
11621,EPE725D,7mm Pear Diamond Earstud,Rose Gold,,,Rose Gold,,,post change NA - traditional earstud,,No,,,Yes,,,No,,,No,
11622,EPE725D,7mm Pear Diamond Earstud,White Gold,,,White Gold,,,post change NA - traditional earstud,,No,,,Yes,,,No,,,No,
11623,EPE725D,7mm Pear Diamond Earstud,Yellow Gold,,,Yellow Gold,,,post change NA - traditional earstud,,No,,,Yes,,,No,,,No,
33624,ETNCOBBKDRB,Black Diamond Eyes Ruby Hood Cobra Talon Traditional Earstud,Black Gold,,,Black Gold,,,post change NA - traditional earstud,,No,,,Yes,,,No,,,No,
33623,ETNCOBBKDRB,Black Diamond Eyes Ruby Hood Cobra Talon Traditional Earstud,Rose Gold,,,Rose Gold,,,post change NA - traditional earstud,,No,,,Yes,,,No,,,No,
33622,ETNCOBBKDRB,Black Diamond Eyes Ruby Hood Cobra Talon Traditional Earstud,White Gold,,,White Gold,,,post change NA - traditional earstud,,No,,,Yes,,,No,,,No,
33625,ETNCOBBKDRB,Black Diamond Eyes Ruby Hood Cobra Talon Traditional Earstud,Yellow Gold,,,Yellow Gold,,,post change NA - traditional earstud,,No,,,Yes,,,No,,,No,
33616,ETNCOBDD,Diamond Eyes Diamond Hood Cobra Talon Traditional Earstud,Black Gold,,,Black Gold,,,post change NA - traditional earstud,,No,,,Yes,,,No,,,No,
33615,ETNCOBDD,Diamond Eyes Diamond Hood Cobra Talon Traditional Earstud,Rose Gold,,,Rose Gold,,,post change NA - traditional earstud,,No,,,Yes,,,No,,,No,
33614,ETNCOBDD,Diamond Eyes Diamond Hood Cobra Talon Traditional Earstud,White Gold,,,White Gold,,,post change NA - traditional earstud,,No,,,Yes,,,No,,,No,
33617,ETNCOBDD,Diamond Eyes Diamond Hood Cobra Talon Traditional Earstud,Yellow Gold,,,Yellow Gold,,,post change NA - traditional earstud,,No,,,Yes,,,No,,,No,
33628,ETNCOBRBD,Ruby Eyes Diamond Hood Cobra Talon Traditional Earstud,Black Gold,,,Black Gold,,,post change NA - traditional earstud,,No,,,Yes,,,No,,,No,
33627,ETNCOBRBD,Ruby Eyes Diamond Hood Cobra Talon Traditional Earstud,Rose Gold,,,Rose Gold,,,post change NA - traditional earstud,,No,,,Yes,,,No,,,No,
33626,ETNCOBRBD,Ruby Eyes Diamond Hood Cobra Talon Traditional Earstud,White Gold,,,White Gold,,,post change NA - traditional earstud,,No,,,Yes,,,No,,,No,
33629,ETNCOBRBD,Ruby Eyes Diamond Hood Cobra Talon Traditional Earstud,Yellow Gold,,,Yellow Gold,,,post change NA - traditional earstud,,No,,,Yes,,,No,,,No,
18575,X2OP,2mm Opal Threaded Stud,Rose Gold,,XTHBF,Rose Gold,19 gauge,19GA=0.9MM,,21314,No,XTHBF|ROSE GOLD|19GA=0.9MM|5MM,21315,Yes,XTHBF|ROSE GOLD|19GA=0.9MM|6.5MM,21316,No,XTHBF|ROSE GOLD|19GA=0.9MM|8MM,21317,No,XTHBF|ROSE GOLD|19GA=0.9MM|9.5MM
18576,X2OP,2mm Opal Threaded Stud,White Gold,,XTHBF,White Gold,19 gauge,19GA=0.9MM,,21326,No,XTHBF|WHITE GOLD|19GA=0.9MM|5MM,21327,Yes,XTHBF|WHITE GOLD|19GA=0.9MM|6.5MM,21328,No,XTHBF|WHITE GOLD|19GA=0.9MM|8MM,21329,No,XTHBF|WHITE GOLD|19GA=0.9MM|9.5MM
18577,X2OP,2mm Opal Threaded Stud,Yellow Gold,,XTHBF,Yellow Gold,19 gauge,19GA=0.9MM,,21338,No,XTHBF|YELLOW GOLD|19GA=0.9MM|5MM,21339,Yes,XTHBF|YELLOW GOLD|19GA=0.9MM|6.5MM,21340,No,XTHBF|YELLOW GOLD|19GA=0.9MM|8MM,21341,No,XTHBF|YELLOW GOLD|19GA=0.9MM|9.5MM
34468,X2OP,2mm Opal Threaded Stud,Black Gold,,XTHBF,Black Rhodium,19 gauge,19GA=0.9MM,,21302,No,XTHBF|BLACK RHODIUM|19GA=0.9MM|5MM,21303,Yes,XTHBF|BLACK RHODIUM|19GA=0.9MM|6.5MM,21304,No,XTHBF|BLACK RHODIUM|19GA=0.9MM|8MM,21305,No,XTHBF|BLACK RHODIUM|19GA=0.9MM|9.5MM
18578,X2PE,2mm Natural Pearl Threaded Stud,Rose Gold,,XTHBF,Rose Gold,19 gauge,19GA=0.9MM,,21314,No,XTHBF|ROSE GOLD|19GA=0.9MM|5MM,21315,Yes,XTHBF|ROSE GOLD|19GA=0.9MM|6.5MM,21316,No,XTHBF|ROSE GOLD|19GA=0.9MM|8MM,21317,No,XTHBF|ROSE GOLD|19GA=0.9MM|9.5MM
18579,X2PE,2mm Natural Pearl Threaded Stud,White Gold,,XTHBF,White Gold,19 gauge,19GA=0.9MM,,21326,No,XTHBF|WHITE GOLD|19GA=0.9MM|5MM,21327,Yes,XTHBF|WHITE GOLD|19GA=0.9MM|6.5MM,21328,No,XTHBF|WHITE GOLD|19GA=0.9MM|8MM,21329,No,XTHBF|WHITE GOLD|19GA=0.9MM|9.5MM
18580,X2PE,2mm Natural Pearl Threaded Stud,Yellow Gold,,XTHBF,Yellow Gold,19 gauge,19GA=0.9MM,,21338,No,XTHBF|YELLOW GOLD|19GA=0.9MM|5MM,21339,Yes,XTHBF|YELLOW GOLD|19GA=0.9MM|6.5MM,21340,No,XTHBF|YELLOW GOLD|19GA=0.9MM|8MM,21341,No,XTHBF|YELLOW GOLD|19GA=0.9MM|9.5MM
18581,X2TN813D,Short Talon with Diamonds Threaded Stud,Black Gold,,,Black Rhodium,,,post change NA,,No,,,Yes,,,No,,,No,
18582,X2TN813D,Short Talon with Diamonds Threaded Stud,Rose Gold,,,Rose Gold,,,post change NA,,No,,,Yes,,,No,,,No,
18583,X2TN813D,Short Talon with Diamonds Threaded Stud,White Gold,,,White Gold,,,post change NA,,No,,,Yes,,,No,,,No,
18584,X2TN813D,Short Talon with Diamonds Threaded Stud,Yellow Gold,,,Yellow Gold,,,post change NA,,No,,,Yes,,,No,,,No,
18601,X2TQ,2mm Turquoise Threaded Stud,Rose Gold,,XTHBF,Rose Gold,19 gauge,19GA=0.9MM,,21314,No,XTHBF|ROSE GOLD|19GA=0.9MM|5MM,21315,Yes,XTHBF|ROSE GOLD|19GA=0.9MM|6.5MM,21316,No,XTHBF|ROSE GOLD|19GA=0.9MM|8MM,21317,No,XTHBF|ROSE GOLD|19GA=0.9MM|9.5MM
18602,X2TQ,2mm Turquoise Threaded Stud,White Gold,,XTHBF,White Gold,19 gauge,19GA=0.9MM,,21326,No,XTHBF|WHITE GOLD|19GA=0.9MM|5MM,21327,Yes,XTHBF|WHITE GOLD|19GA=0.9MM|6.5MM,21328,No,XTHBF|WHITE GOLD|19GA=0.9MM|8MM,21329,No,XTHBF|WHITE GOLD|19GA=0.9MM|9.5MM
18603,X2TQ,2mm Turquoise Threaded Stud,Yellow Gold,,XTHBF,Yellow Gold,19 gauge,19GA=0.9MM,,21338,No,XTHBF|YELLOW GOLD|19GA=0.9MM|5MM,21339,Yes,XTHBF|YELLOW GOLD|19GA=0.9MM|6.5MM,21340,No,XTHBF|YELLOW GOLD|19GA=0.9MM|8MM,21341,No,XTHBF|YELLOW GOLD|19GA=0.9MM|9.5MM
18604,X3BTR,Ball Trinity Threaded Stud,Rose Gold,,XTHBF,Rose Gold,19 gauge,19GA=0.9MM,,21314,No,XTHBF|ROSE GOLD|19GA=0.9MM|5MM,21315,Yes,XTHBF|ROSE GOLD|19GA=0.9MM|6.5MM,21316,No,XTHBF|ROSE GOLD|19GA=0.9MM|8MM,21317,No,XTHBF|ROSE GOLD|19GA=0.9MM|9.5MM
18605,X3BTR,Ball Trinity Threaded Stud,White Gold,,XTHBF,White Gold,19 gauge,19GA=0.9MM,,21326,No,XTHBF|WHITE GOLD|19GA=0.9MM|5MM,21327,Yes,XTHBF|WHITE GOLD|19GA=0.9MM|6.5MM,21328,No,XTHBF|WHITE GOLD|19GA=0.9MM|8MM,21329,No,XTHBF|WHITE GOLD|19GA=0.9MM|9.5MM
18606,X3BTR,Ball Trinity Threaded Stud,Yellow Gold,,XTHBF,Yellow Gold,19 gauge,19GA=0.9MM,,21338,No,XTHBF|YELLOW GOLD|19GA=0.9MM|5MM,21339,Yes,XTHBF|YELLOW GOLD|19GA=0.9MM|6.5MM,21340,No,XTHBF|YELLOW GOLD|19GA=0.9MM|8MM,21341,No,XTHBF|YELLOW GOLD|19GA=0.9MM|9.5MM
18607,X3BTRL,Large Three Ball Trinity Threaded Stud,Rose Gold,,XTHBF,Rose Gold,19 gauge,19GA=0.9MM,,21314,No,XTHBF|ROSE GOLD|19GA=0.9MM|5MM,21315,Yes,XTHBF|ROSE GOLD|19GA=0.9MM|6.5MM,21316,No,XTHBF|ROSE GOLD|19GA=0.9MM|8MM,21317,No,XTHBF|ROSE GOLD|19GA=0.9MM|9.5MM
18608,X3BTRL,Large Three Ball Trinity Threaded Stud,White Gold,,XTHBF,White Gold,19 gauge,19GA=0.9MM,,21326,No,XTHBF|WHITE GOLD|19GA=0.9MM|5MM,21327,Yes,XTHBF|WHITE GOLD|19GA=0.9MM|6.5MM,21328,No,XTHBF|WHITE GOLD|19GA=0.9MM|8MM,21329,No,XTHBF|WHITE GOLD|19GA=0.9MM|9.5MM
18609,X3BTRL,Large Three Ball Trinity Threaded Stud,Yellow Gold,,XTHBF,Yellow Gold,19 gauge,19GA=0.9MM,,21338,No,XTHBF|YELLOW GOLD|19GA=0.9MM|5MM,21339,Yes,XTHBF|YELLOW GOLD|19GA=0.9MM|6.5MM,21340,No,XTHBF|YELLOW GOLD|19GA=0.9MM|8MM,21341,No,XTHBF|YELLOW GOLD|19GA=0.9MM|9.5MM
18610,X3CZ,3mm Cubic Zirconia Threaded Stud,Rose Gold,,XTHBF,Rose Gold,19 gauge,19GA=0.9MM,,21314,No,XTHBF|ROSE GOLD|19GA=0.9MM|5MM,21315,Yes,XTHBF|ROSE GOLD|19GA=0.9MM|6.5MM,21316,No,XTHBF|ROSE GOLD|19GA=0.9MM|8MM,21317,No,XTHBF|ROSE GOLD|19GA=0.9MM|9.5MM
18611,X3CZ,3mm Cubic Zirconia Threaded Stud,White Gold,,XTHBF,White Gold,19 gauge,19GA=0.9MM,,21326,No,XTHBF|WHITE GOLD|19GA=0.9MM|5MM,21327,Yes,XTHBF|WHITE GOLD|19GA=0.9MM|6.5MM,21328,No,XTHBF|WHITE GOLD|19GA=0.9MM|8MM,21329,No,XTHBF|WHITE GOLD|19GA=0.9MM|9.5MM
18612,X3CZ,3mm Cubic Zirconia Threaded Stud,Yellow Gold,,XTHBF,Yellow Gold,19 gauge,19GA=0.9MM,,21338,No,XTHBF|YELLOW GOLD|19GA=0.9MM|5MM,21339,Yes,XTHBF|YELLOW GOLD|19GA=0.9MM|6.5MM,21340,No,XTHBF|YELLOW GOLD|19GA=0.9MM|8MM,21341,No,XTHBF|YELLOW GOLD|19GA=0.9MM|9.5MM
29379,X3DTRBKD,Black Diamond Trinity Threaded Stud,White Gold,,XTHBF,White Gold,19 gauge,19GA=0.9MM,,21326,No,XTHBF|WHITE GOLD|19GA=0.9MM|5MM,21327,Yes,XTHBF|WHITE GOLD|19GA=0.9MM|6.5MM,21328,No,XTHBF|WHITE GOLD|19GA=0.9MM|8MM,21329,No,XTHBF|WHITE GOLD|19GA=0.9MM|9.5MM
29380,X3DTRBKD,Black Diamond Trinity Threaded Stud,Rose Gold,,XTHBF,Rose Gold,19 gauge,19GA=0.9MM,,21314,No,XTHBF|ROSE GOLD|19GA=0.9MM|5MM,21315,Yes,XTHBF|ROSE GOLD|19GA=0.9MM|6.5MM,21316,No,XTHBF|ROSE GOLD|19GA=0.9MM|8MM,21317,No,XTHBF|ROSE GOLD|19GA=0.9MM|9.5MM
29381,X3DTRBKD,Black Diamond Trinity Threaded Stud,Yellow Gold,,XTHBF,Yellow Gold,19 gauge,19GA=0.9MM,,21338,No,XTHBF|YELLOW GOLD|19GA=0.9MM|5MM,21339,Yes,XTHBF|YELLOW GOLD|19GA=0.9MM|6.5MM,21340,No,XTHBF|YELLOW GOLD|19GA=0.9MM|8MM,21341,No,XTHBF|YELLOW GOLD|19GA=0.9MM|9.5MM
32177,X3DTRBKD,Black Diamond Trinity Threaded Stud,Black Gold,,XTHBF,Black Rhodium,19 gauge,19GA=0.9MM,,21302,No,XTHBF|BLACK RHODIUM|19GA=0.9MM|5MM,21303,Yes,XTHBF|BLACK RHODIUM|19GA=0.9MM|6.5MM,21304,No,XTHBF|BLACK RHODIUM|19GA=0.9MM|8MM,21305,No,XTHBF|BLACK RHODIUM|19GA=0.9MM|9.5MM
18613,X3DTRD,Diamond Trinity Threaded Stud,Rose Gold,,XTHBF,Rose Gold,19 gauge,19GA=0.9MM,,21314,No,XTHBF|ROSE GOLD|19GA=0.9MM|5MM,21315,Yes,XTHBF|ROSE GOLD|19GA=0.9MM|6.5MM,21316,No,XTHBF|ROSE GOLD|19GA=0.9MM|8MM,21317,No,XTHBF|ROSE GOLD|19GA=0.9MM|9.5MM
