SKU,Product Name,4,542,424,13,14,15,16,18,17,19,575,576,54,55,50,407,540,520,51,49,53,532,547,417,419,418,420,437
ZXMARK,"Gold ""X"" Marks The Spot Frontal Only'",,,,,,,,,,,,,,,,,P,,,,,,,P,,,,
ZWB15D,Large Diamond Web Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZWB15BKD,Large Black Diamond Web Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZWB10D,10mm Diamond Web Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZWB10BKD,10mm Black Diamond Web Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZURPAPRS5BKD,5mm Black and White Diamond Pave Pronged Ouroboros Frontal',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZURPAPRS4BKD,4mm Black and White Diamond Pave Pronged Ouroboros Frontal',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZURPA5D,5mm Rose Cut Diamond Pave Ouroboros Frontal',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZURPA4DOP,4mm Opal and Diamond Pave Ouroboros Frontal',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZURPA4D,4mm Rose Cut Diamond Pave Ouroboros Frontal',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZSTH,Straight Barbell Post Only 14-12 Gauge',,,,,,,,,,,,,,,,,,,,,,,,P,,P,,
ZSTARD,Diamond Solitaire Star Frontal Only',,,,,,,,,,,,,,,,,P,,,,,,,P,,,,
ZSTAR7D,7mm Diamond Star Frontal',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZSTAR55D,5.5mm Diamond Star Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZSTAR45D,4.5mm Diamond Star Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZSTAR,Plain Star Frontal',,,,,,,,,,,,,,,,,P,,,,,,,P,,,,
ZSQGPS,Pink Sapphire Princess Granulated Frontal',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZSQGBS,Blue Sapphire Princess Granulated Frontal',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZSQ4DTRD,Princess Three Diamond Trinity Frontal Only',,,,,,,,,,,,,,,,,P,,,,,,,P,,,,
ZSQ3BTRD,Diamond Three Ball Princess Frontal Only',,,,,,,,,,,,,,,,,P,,,,,,,P,,,,
ZSP3525,3.5-2.5mm Spike Stud Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZSNPA10DRB,Large Diamond Pave Snake with Ruby Eyes Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZSNPA10D,Large Diamond Pave Snake Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZSNEG5RB,Small Engraved Snake with Ruby Eyes Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZSNEG5D,Small Engraved Snake with Diamond Eyes Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZSNEG5BKD,Small Engraved Snake with Black Diamond Eyes Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZSNEG10RB,Large Engraved Snake with Ruby Eyes Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZSNEG10D,Large Engraved Snake with Diamond Eyes Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
